Systemdate,Applewood.InfoHighDump.signal_level,Applewood.InfoHighDump.latency_max_ms,Applewood.InfoHighDump.latency_packet_loss_count,Applewood.InfoHighDump.lte_state,Applewood.InfoHighDump.rssi,Applewood.InfoHighDump.rsrq,Applewood.InfoHighDump.rsrp,Applewood.InfoHighDump.rx_channel,Applewood.InfoHighDump.tx_channel,Applewood.InfoHighDump.band
2026-01-30T02:06:50,31,125,0,4,-51,-12,-81,66961,131697,eutran-66
2026-01-30T02:07:05,31,125,0,4,-52,-11,-81,66961,131697,eutran-66
2026-01-30T02:07:20,31,125,0,4,-50,-12,-81,66961,131697,eutran-66
2026-01-30T02:07:35,31,125,0,4,-49,-13,-81,66961,131697,eutran-66
2026-01-30T02:07:50,31,125,0,4,-51,-10,-81,66961,131697,eutran-66
2026-01-30T02:08:05,31,125,0,4,-52,-12,-81,66961,131697,eutran-66
2026-01-30T02:08:20,31,125,0,4,-52,-11,-81,66961,131697,eutran-66
2026-01-30T02:08:35,30,125,0,4,-53,-10,-81,66961,131697,eutran-66
2026-01-30T02:08:50,30,125,0,4,-53,-11,-81,66961,131697,eutran-66
2026-01-30T02:09:05,31,125,0,4,-50,-11,-81,66961,131697,eutran-66
2026-01-30T02:09:20,31,125,0,4,-52,-11,-81,66961,131697,eutran-66
2026-01-30T02:09:35,31,125,0,4,-52,-11,-81,66961,131697,eutran-66
2026-01-30T02:09:50,31,125,0,4,-52,-12,-81,66961,131697,eutran-66
2026-01-30T02:10:05,31,125,0,4,-50,-13,-81,66961,131697,eutran-66
2026-01-30T02:10:20,30,125,0,4,-53,-11,-81,66961,131697,eutran-66
2026-01-30T02:10:35,31,125,0,4,-52,-11,-81,66961,131697,eutran-66
2026-01-30T02:10:50,31,125,0,4,-48,-13,-82,66961,131697,eutran-66
2026-01-30T02:11:02,31,125,0,4,-48,-13,-82,66961,131697,eutran-66
2026-01-30T02:11:20,31,125,0,4,-52,-12,-81,66961,131697,eutran-66
2026-01-30T02:11:35,31,125,0,4,-51,-11,-81,66961,131697,eutran-66
2026-01-30T02:11:50,31,125,0,4,-51,-12,-81,66961,131697,eutran-66
2026-01-30T02:12:05,30,125,0,4,-53,-10,-81,66961,131697,eutran-66
2026-01-30T02:12:20,29,125,0,4,-54,-10,-82,66961,131697,eutran-66
2026-01-30T02:12:35,30,125,0,4,-53,-12,-81,66961,131697,eutran-66
2026-01-30T02:12:50,30,125,0,4,-53,-10,-81,66961,131697,eutran-66
2026-01-30T02:13:05,31,125,0,4,-48,-16,-81,66961,131697,eutran-66
2026-01-30T02:13:20,30,125,0,4,-53,-9,-81,66961,131697,eutran-66
2026-01-30T02:13:35,31,125,0,4,-51,-12,-81,66961,131697,eutran-66
2026-01-30T02:13:50,31,125,0,4,-47,-11,-78,66961,131697,eutran-66
2026-01-30T02:14:05,29,125,0,4,-54,-10,-81,66961,131697,eutran-66
2026-01-30T02:14:20,31,125,0,4,-51,-10,-80,66961,131697,eutran-66
2026-01-30T02:14:35,31,125,0,4,-48,-15,-82,66961,131697,eutran-66
2026-01-30T02:14:50,31,125,0,4,-50,-12,-81,66961,131697,eutran-66
2026-01-30T02:15:05,31,125,0,4,-50,-12,-81,66961,131697,eutran-66
2026-01-30T02:15:20,31,125,0,4,-50,-12,-80,66961,131697,eutran-66
2026-01-30T02:15:35,31,125,0,4,-47,-12,-79,66961,131697,eutran-66
2026-01-30T02:15:50,31,125,0,4,-48,-15,-81,66961,131697,eutran-66
2026-01-30T02:16:05,31,125,0,4,-46,-13,-79,66961,131697,eutran-66
2026-01-30T02:16:20,30,125,0,4,-53,-13,-82,66961,131697,eutran-66
2026-01-30T02:16:35,30,125,0,4,-53,-11,-81,66961,131697,eutran-66
2026-01-30T02:16:51,31,125,0,4,-50,-13,-82,66961,131697,eutran-66
2026-01-30T02:17:02,31,125,0,4,-50,-13,-82,66961,131697,eutran-66
2026-01-30T02:17:21,29,125,0,4,-54,-11,-81,66961,131697,eutran-66
2026-01-30T02:17:36,29,125,0,4,-54,-10,-81,66961,131697,eutran-66
2026-01-30T02:17:51,30,45,0,4,-53,-12,-81,66961,131697,eutran-66
2026-01-30T02:18:06,31,45,0,4,-50,-12,-81,66961,131697,eutran-66
2026-01-30T02:18:21,31,45,0,4,-51,-11,-81,66961,131697,eutran-66
2026-01-30T02:18:36,31,45,0,4,-48,-14,-81,66961,131697,eutran-66
2026-01-30T02:18:51,31,45,0,4,-47,-14,-81,66961,131697,eutran-66
2026-01-30T02:19:06,31,45,0,4,-47,-14,-84,66961,131697,eutran-66
2026-01-30T02:19:21,31,45,0,4,-51,-10,-81,66961,131697,eutran-66
2026-01-30T02:19:36,31,45,0,4,-49,-12,-81,66961,131697,eutran-66
2026-01-30T02:19:51,29,45,0,4,-54,-11,-81,66961,131697,eutran-66
2026-01-30T02:20:06,29,45,0,4,-54,-10,-81,66961,131697,eutran-66
2026-01-30T02:20:21,31,45,0,4,-52,-11,-82,66961,131697,eutran-66
2026-01-30T02:20:36,30,45,0,4,-53,-10,-81,66961,131697,eutran-66
